Geography_Name,geography_level,geography_level_sort_order,parent_geography_name,geography_name_order,State,Demographic_Level,Demographic_Name,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,Month_Week_Order,Week_Ending,MMWR_Year,MMWR_Week,MMWR_Day,Month_Week,MMWRWeek_Display_Order,Month_Display_Order,Current_Season_Week_Ending_Label,Influenza_Season,Point_Estimate,CI_HalfWidth,Upper_CI,Lower_CI,n_unweighted,n_weighted,Legend_Label,Current_Through
New Mexico,State,2,National,35,New Mexico,Overall,Overall,1,11,3540,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,15.068,1.4996,16.5676,13.5684,8,189145,"2019-2020, New Mexico. Overall: Overall",2020-06-27
New York,State,2,National,36,New York,Overall,Overall,1,11,3640,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,18.1039,1.4745,19.5784,16.6295,41,2590046,"2019-2020, New York. Overall: Overall",2020-06-27
New York City,Local,3,New York,37,New York,Overall,Overall,1,11,3740,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,21.3336,2.2878,23.6214,19.0459,14,214286,"2019-2020, New York City. Overall: Overall",2020-06-27
North Carolina,State,2,National,39,North Carolina,Overall,Overall,1,11,3940,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.0985,1.948,18.0465,14.1504,47,2068639,"2019-2020, North Carolina. Overall: Overall",2020-06-27
North Dakota,State,2,National,40,North Dakota,Overall,Overall,1,11,4040,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,12.4375,1.976,14.4135,10.4614,44,213157,"2019-2020, North Dakota. Overall: Overall",2020-06-27
Ohio,State,2,National,41,Ohio,Overall,Overall,1,11,4140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,15.3295,1.8482,17.1777,13.4813,38,1608481,"2019-2020, Ohio. Overall: Overall",2020-06-27
Oklahoma,State,2,National,42,Oklahoma,Overall,Overall,1,11,4240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,20.5288,10.8283,31.3571,9.7004,59,1913775,"2019-2020, Oklahoma. Overall: Overall",2020-06-27
Oregon,State,2,National,43,Oregon,Overall,Overall,1,11,4340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.1988,1.8576,16.0565,12.3412,20,976796,"2019-2020, Oregon. Overall: Overall",2020-06-27
Pennsylvania,State,2,National,44,Pennsylvania,Overall,Overall,1,11,4440,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,19.7518,3.9334,23.6852,15.8184,66,1603063,"2019-2020, Pennsylvania. Overall: Overall",2020-06-27
Philadelphia County,Local,3,Pennsylvania,45,Pennsylvania,Overall,Overall,1,11,4540,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,24.4916,7.4839,31.9754,17.0077,37,845160,"2019-2020, Philadelphia County. Overall: Overall",2020-06-27
Rhode Island,State,2,National,47,Rhode Island,Overall,Overall,1,11,4740,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,23.8348,6.6208,30.4556,17.2139,44,277088,"2019-2020, Rhode Island. Overall: Overall",2020-06-27
South Carolina,State,2,National,48,South Carolina,Overall,Overall,1,11,4840,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,15.24,1.9463,17.1863,13.2937,59,1333726,"2019-2020, South Carolina. Overall: Overall",2020-06-27
South Dakota,State,2,National,49,South Dakota,Overall,Overall,1,11,4940,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,19.1865,10.5166,29.7031,8.6699,45,222429,"2019-2020, South Dakota. Overall: Overall",2020-06-27
Tennessee,State,2,National,50,Tennessee,Overall,Overall,1,11,5040,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,19.297,2.2262,21.5231,17.0708,60,3097510,"2019-2020, Tennessee. Overall: Overall",2020-06-27
Texas,State,2,National,51,Texas,Overall,Overall,1,11,5140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,20.2493,2.9947,23.2439,17.2546,255,7639684,"2019-2020, Texas. Overall: Overall",2020-06-27
Bexar County,Local,3,Texas,52,Texas,Overall,Overall,1,11,5240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.9981,2.0383,20.0364,15.9599,47,1106225,"2019-2020, Bexar County. Overall: Overall",2020-06-27
City of Houston,Local,3,Texas,53,Texas,Overall,Overall,1,11,5340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,21.8179,2.3615,24.1794,19.4563,45,2530635,"2019-2020, City of Houston. Overall: Overall",2020-06-27
Utah,State,2,National,55,Utah,Overall,Overall,1,11,5540,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,11.8922,1.9801,13.8723,9.9121,21,644909,"2019-2020, Utah. Overall: Overall",2020-06-27
Vermont,State,2,National,56,Vermont,Overall,Overall,1,11,5640,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,12.5793,1.8785,14.4578,10.7008,23,55678,"2019-2020, Vermont. Overall: Overall",2020-06-27
Virginia,State,2,National,57,Virginia,Overall,Overall,1,11,5740,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,21.2011,6.0611,27.2622,15.14,62,1448654,"2019-2020, Virginia. Overall: Overall",2020-06-27
Washington,State,2,National,58,Washington,Overall,Overall,1,11,5840,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.9687,1.8528,18.8216,15.1159,27,1127692,"2019-2020, Washington. Overall: Overall",2020-06-27
West Virginia,State,2,National,59,West Virginia,Overall,Overall,1,11,5940,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.6111,6.5797,23.1908,10.0315,52,998244,"2019-2020, West Virginia. Overall: Overall",2020-06-27
Wisconsin,State,2,National,60,Wisconsin,Overall,Overall,1,11,6040,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.8039,4.0144,18.8182,10.7895,50,1368453,"2019-2020, Wisconsin. Overall: Overall",2020-06-27
Wyoming,State,2,National,61,Wyoming,Overall,Overall,1,11,6140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,12.1557,3.8267,15.9824,8.329,27,109271,"2019-2020, Wyoming. Overall: Overall",2020-06-27
Puerto Rico,State,2,National,62,Puerto Rico,Overall,Overall,1,11,6240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.3507,2.0335,16.3841,12.3172,151,582693,"2019-2020, Puerto Rico. Overall: Overall",2020-06-27
Guam,State,2,National,63,Guam,Overall,Overall,1,11,6340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,,,,,,,"2019-2020, Guam. Overall: Overall",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,Hispanic,3,33,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,25.5922,3.3118,28.904,22.2804,993,18197395,"2019-2020, National. Race/Ethnicity: Hispanic",2020-06-27
National,National,1,National,1,National,Overall,Overall,1,11,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.604,1.403,25.0069,22.201,5774,71475238,"2019-2020, National. Overall: Overall",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,"White, Non-Hispanic",3,34,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,22.4153,1.7319,24.1472,20.6834,3467,36001787,"2019-2020, National. Race/Ethnicity: White, Non-Hispanic",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,"Other, Non-Hispanic",3,35,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.7503,3.4746,27.2249,20.2757,723,7470597,"2019-2020, National. Race/Ethnicity: Other, Non-Hispanic",2020-06-27
National,National,1,National,1,National,Urbanicity,Suburban (MSA Non-Principal City),4,42,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.7082,1.8238,25.532,21.8844,3273,41654826,"2019-2020, National. Urbanicity: Suburban (MSA Non-Principal City)",2020-06-27
National,National,1,National,1,National,Age,5-12 years,2,22,141,2019-10-12,2019,41,7,October Week 2,2,1,2023-10-14,2019-2020,23.1077,1.8602,24.9679,21.2475,2266,32751211,"2019-2020, National. Age: 5-12 years",2020-06-27
